Employee ID,Employee Name,Department,Designation,Gender,Joining Date,Exit Date,Salary,Attendance %,Location,Employment Status
EMP1056,Arjun Shinde,Human Resource,Senior Executive,Female,25-07-2019,27-03-2020,77598,92.8,Chennai,Exited
EMP1057,Aadhya Pawar,Sales,Senior Executive,Male,02-12-2019,,24826,89.5,Mumbai,Exited
EMP1058,Bhavna Sharma,Finance,Analyst,Male,27-03-2021,,37973,84.2,Pune,Active
EMP1059,Rohan Deshmukh,Operations,Analyst,Female,15-11-2021,,33012,73.2,Mumbai,Exited
EMP1060, Swati Yadav ,Admin,Coordinator,Male,18-03-2023,06-11-2023,27961,73.1,Bengaluru,Exited
EMP1061,Deepak Bhosale,hr,Executive,Female,18-06-2019,25-05-2021,66571,70.4,Chennai,Exited
EMP1062,Manoj Reddy,hr,Manager,Male,11-11-2023,07-04-2026,78258,83.1,Indore,Exited
EMP1063,Nikhil Kulkarni,Admin,Senior Executive,Male,03-06-2024,21-07-2026,53179,94.9,Pune,Exited
EMP1064,Aadhya Shinde,Finance,Analyst,Female,18-03-2024,05-09-2025,60600,76.4,Bengaluru,Exited
EMP1065,Sneha Kulkarni,Admin,Executive,Male,05-02-2022,,43042,91.6,Wardha,Active
EMP1066,Vikas Joshi,Operations,Analyst,Female,03-07-2024,05-11-2024,56566,90.8,Bengaluru,Exited
EMP1067,Akash Choudhary,sales,Senior Executive,Female,22-04-2024,24-06-2026,61357,78.1,Bengaluru,Exited
EMP1068,Diya Singh,Finance,Analyst,Male,16-07-2022,,42267,92.2,Bengaluru,Active
EMP1069,Shreya Choudhary,Marketing,Senior Executive,Male,05-03-2022,,43443,80.8,Bengaluru,Active
EMP1070,Aarav Mehta,Human Resource,Coordinator,Female,28-01-2022,,25146,90.9,Nagpur,Active
EMP1071,Nikhil Reddy,hr,Analyst,Male,20-02-2019,15-06-2020,62657,77.6,Wardha,Exited
EMP1072,Vihaan Patel,IT,Analyst,Male,07-07-2024,,25026,94.3,Bengaluru,Active
EMP1073,Aditya Joshi,hr,Associate,Female,01-09-2023,,67856,78.9,Chennai,Active
EMP1074,Priya Choudhary,Admin,Manager,Male,04-09-2019,,45235,77.9,Pune,Active
EMP1075,Sai Joshi,Human Resource,Associate,Female,04-11-2019,,18350,90.7,Wardha,Active
EMP1076,Priya Verma,Finance,Manager,Male,26-03-2022,02-08-2023,27329,97.7,Delhi,Exited
EMP1077,Kavya Singh,Marketing,Analyst,Male,09-07-2021,,52816,71.8,Bengaluru,Active
EMP1078,Siddharth Choudhary,Sales,Manager,Female,04-12-2023,,79433,91.0,Bengaluru,Active
EMP1079,Amit Mehta,Operations,Associate,Female,29-11-2023,,23224,88.1,Mumbai,Active
EMP1080,Aditya Joshi,Admin,Associate,Female,26-03-2019,14-06-2021,40962,97.5,Nagpur,Exited
EMP1081,Rohan Pawar,Operations,Manager,Male,09-01-2020,14-01-2021,60081,95.7,Hyderabad,Exited
EMP1082,Kavya Reddy,Sales,Executive,Female,29-06-2023,,77614,77.6,Pune,Active
EMP1083,Bhavna Patil,Marketing,Coordinator,Female,05-01-2019,15-08-2019,65419,88.8,Mumbai,Exited
EMP1084,Ananya Kulkarni,Marketing,Executive,Male,20-06-2020,05-07-2022,81532,99.2,Delhi,Exited
EMP1085,Sakshi Ninawe,Sales,Associate,Male,26-02-2019,,32871,89.4,Nagpur,Exited
EMP1086,Rahul Yadav,Marketing,Associate,Male,24-01-2022,21-06-2023,49946,81.5,Indore,Exited
EMP1087,Shreya Gupta,hr,Senior Executive,Male,05-02-2022,21-05-2024,84550,78.5,Bengaluru,Exited
EMP1088,Manoj Choudhary,Admin,Coordinator,Female,28-06-2024,,76529,80.4,Indore,Active
EMP1089,Bhavna Mehta,IT,Coordinator,Female,09-02-2024,22-02-2026,49300,77.0,Chennai,Exited
EMP1089,Vivaan Jain,Operations,Associate,Male,11-04-2023,30-07-2025,37936,73.8,Hyderabad,Exited
EMP1091,Deepak Singh,Operations,Associate,Male,13-02-2020,,36894,72.2,Bengaluru,Exited
EMP1092,Sneha Bhosale,IT,Senior Executive,Female,25-11-2019,22-05-2022,67808,96.2,Mumbai,Exited
EMP1093,Siddharth Patel,Finance,Associate,Male,23-03-2022,,29846,92.8,Pune,Active
EMP1094,Isha Ninawe,Sales,Executive,Female,29-04-2019,,60516,80.8,Chennai,Active
EMP1095,Arjun Joshi,Marketing,Analyst,Male,15-08-2023,,40280,88.3,Chennai,Active
EMP1096,Siddharth Joshi,Operations,Manager,Female,09-08-2020,,78443,83.8,Mumbai,Active
EMP1097,Ritika Shinde,Sales,Senior Executive,Female,09-10-2020,,75898,89.2,Chennai,Active
EMP1098,Sakshi Kulkarni,Operations,Associate,Male,22-05-2022,,68422,77.1,Hyderabad,Active
EMP1099,Rohan Yadav,Sales,Coordinator,Female,31-03-2019,,24428,95.0,Bengaluru,Exited
EMP1100,Bhavna Joshi,Admin,Coordinator,Female,14-12-2022,,,90.3,Nagpur,Active
EMP1101,Nikhil Singh,HR,Manager,Male,19-06-2022,,65823,72.7,Bengaluru,Exited
EMP1102,Sneha Pawar,Human Resource,Coordinator,Female,02-04-2021,,65953,94.9,Bengaluru,Active
EMP1103,Swati Reddy,Sales,Executive,Male,19-10-2022,,79385,92.6,Delhi,Active
EMP1104,Deepak Patil,Marketing,Executive,Female,07-02-2023,,69717,86.1,Wardha,Active
EMP1105,Pooja Kulkarni,Admin,Associate,Male,10-04-2023,,48647,88.6,Indore,Exited
EMP1106,Sneha Bhosale,Finance,Executive,Male,16-09-2019,20-08-2020,71516,71.4,Mumbai,Exited
EMP1107,Priya Reddy,hr,Associate,Female,03-02-2020,,35781,81.1,Indore,Active
EMP1108,Kavya Choudhary,Human Resource,Coordinator,Female,27-08-2023,,82139,98.2,Bengaluru,Active
EMP1109,Vivaan Mishra,Finance,Executive,Female,22-12-2023,14-06-2026,65537,86.3,Hyderabad,Exited
EMP1110,Vivaan Patil,Sales,Executive,Male,16-02-2021,,77600,89.3,Mumbai,Active
EMP1111,Vivaan Jain,Finance,Coordinator,Male,30-05-2020,,26992,87.6,Delhi,Active
EMP1112,Sneha Gupta,Admin,Coordinator,Female,12-01-2019,09-07-2019,35038,94.0,Pune,Exited
EMP1113,Akash Sharma,Human Resource,Executive,Male,02-03-2019,30-11-2019,60437,78.0,Nagpur,Exited
EMP1114,Shreya Pawar,Marketing,Associate,Female,10-04-2020,,80422,85.4,Pune,Active
EMP1115,Isha Nair,Finance,Associate,Female,27-06-2019,27-08-2019,25972,82.8,Pune,Exited
EMP1116,Rahul Shinde,hr,Senior Executive,Female,27-11-2019,03-03-2020,34540,81.4,Indore,Exited
EMP1117,Priya Shinde,Marketing,Manager,Male,29-10-2023,,32996,82.9,Delhi,Active
EMP1118,Kavya Jain,Operations,Senior Executive,Female,22-06-2023,06-06-2024,73936,81.2,Nagpur,Exited
EMP1119,Akash Reddy,hr,Associate,Male,09-01-2020,,30219,92.3,Hyderabad,Active
EMP1120, Kiran Gupta ,Marketing,Manager,Female,03-09-2019,26-11-2020,64346,96.0,Mumbai,Exited
EMP1121,Priya Bhosale,Sales,Analyst,Male,11-12-2022,,84507,89.7,Delhi,Active
EMP1122,Deepak Singh,sales,Coordinator,Male,14-02-2023,,54512,94.2,Indore,Active
EMP1123,Bhavna Bhosale,Admin,Manager,Female,18-04-2019,,53818,97.6,Hyderabad,Exited
EMP1124,Aarav Ninawe,Human Resource,Manager,Male,30-06-2023,,36595,72.8,Indore,Active
EMP1125,Ananya Patil,IT,Manager,Female,02-02-2024,,58846,93.3,Pune,Exited
EMP1126,Ritika Verma,Human Resource,Senior Executive,Female,06-10-2020,,28693,89.9,Wardha,Active
EMP1127,Siddharth Shinde,IT,Senior Executive,Female,23-01-2022,,32918,73.3,Wardha,Active
EMP1128,Amit Yadav,HR,Analyst,Female,22-06-2021,16-09-2021,19007,98.4,Nagpur,Exited
EMP1129,Bhavna Kulkarni,Sales,Associate,Female,05-09-2022,,19013,75.3,Chennai,Active
EMP1130,Vikas Joshi,Marketing,Manager,Male,21-12-2022,,70044,83.1,Wardha,Active
EMP1131,Swati Patel,sales,Executive,Female,25-10-2023,24-01-2025,55947,70.6,Hyderabad,Exited
EMP1132,Sai Bhosale,Operations,Executive,Male,22-01-2023,,75240,83.1,Chennai,Active
EMP1133,Amit Patel,IT,Executive,Male,24-06-2022,,40037,85.9,Delhi,Exited
EMP1134,Ritika Mishra,sales,Analyst,Female,27-08-2020,,31474,75.9,Nagpur,Active
EMP1134,Bhavna Patel,Human Resource,Manager,Female,16-07-2024,02-10-2026,76838,95.9,Hyderabad,Exited
EMP1136,Arjun Shinde,hr,Coordinator,Male,04-04-2024,28-07-2026,54002,80.6,Pune,Exited
EMP1137,Priya Shinde,Operations,Senior Executive,Male,04-06-2019,,66331,89.3,Pune,Active
EMP1138,Siddharth Bhosale,Marketing,Associate,Male,24-04-2023,11-08-2025,23376,79.6,Wardha,Exited
EMP1139,Amit Gupta,HR,Manager,Male,20-01-2024,,63015,85.1,Nagpur,Active
EMP1140,Vivaan Joshi,Operations,Senior Executive,Female,05-12-2023,,65696,81.6,Hyderabad,Active
EMP1141,Akash Bhosale,HR,Executive,Female,02-10-2022,,61213,78.5,Nagpur,Active
EMP1142,Sneha Patel,Admin,Analyst,Male,02-08-2020,04-07-2022,69374,79.3,Chennai,Exited
EMP1143,Nikhil Jain,Human Resource,Coordinator,Female,26-11-2024,,73496,70.5,Bengaluru,Active
EMP1144,Sai Deshmukh,sales,Analyst,Male,14-06-2024,,47693,72.3,Pune,Active
EMP1145,Amit Mehta,Marketing,Coordinator,Female,04-06-2019,27-03-2021,35176,74.6,Nagpur,Exited
EMP1146,Manoj Bhosale,Human Resource,Senior Executive,Male,28-11-2023,,71852,99.1,Bengaluru,Active
EMP1147,Bhavna Shinde,Finance,Associate,Male,27-12-2024,,58562,81.0,Wardha,Active
EMP1148,Isha Yadav,IT,Coordinator,Male,21-08-2024,04-01-2027,44174,96.2,Mumbai,Exited
EMP1149,Nikhil Reddy,sales,Executive,Male,25-02-2020,,55363,78.2,Indore,Active
EMP1150,Arjun Pawar,hr,Associate,Male,28-06-2021,06-03-2024,,81.9,Hyderabad,Exited
EMP1151,Diya Patil,hr,Senior Executive,Male,16-03-2023,,21694,95.2,Hyderabad,Active
EMP1152,Kiran Gupta,Human Resource,Manager,Female,06-06-2019,31-10-2020,36191,83.5,Mumbai,Exited
EMP1153,Ritika Patel,HR,Coordinator,Female,14-11-2021,,37597,73.3,Bengaluru,Active
EMP1154,Diya Yadav,hr,Manager,Female,15-07-2019,,73027,71.9,Wardha,Active
EMP1155,Siddharth Mehta,HR,Senior Executive,Female,11-10-2024,,36818,70.0,Hyderabad,Active
EMP1156,Diya Choudhary,IT,Executive,Male,06-02-2021,,65265,81.7,Wardha,Active
EMP1157,Vivaan Patil,sales,Executive,Female,04-11-2021,,64805,77.2,Pune,Active
EMP1158,Bhavna Choudhary,sales,Coordinator,Female,30-06-2020,,64176,94.4,Nagpur,Active
EMP1159,Manoj Shinde,Operations,Manager,Female,16-01-2021,,26270,71.1,Delhi,Active
EMP1160,Vivaan Deshmukh,HR,Senior Executive,Male,16-07-2022,26-11-2024,80049,92.6,Delhi,Exited
EMP1161,Priya Mishra,HR,Associate,Female,21-09-2022,,66237,92.3,Chennai,Exited
EMP1162,Sneha Ninawe,Operations,Executive,Female,30-07-2024,11-02-2026,52959,72.4,Nagpur,Exited
EMP1163,Vikas Yadav,sales,Manager,Female,25-02-2020,,60981,79.2,Chennai,Active
EMP1164,Sai Shinde,sales,Coordinator,Female,06-01-2024,,64210,78.2,Mumbai,Active
EMP1165,Aditya Patil,sales,Analyst,Female,02-10-2024,,22081,71.0,Pune,Active
EMP1166,Diya Mishra,sales,Manager,Female,18-04-2023,,38111,98.5,Hyderabad,Active
EMP1167,Isha Patel,Admin,Analyst,Male,17-07-2020,12-06-2022,54528,70.8,Nagpur,Exited
EMP1168,Rahul Nair,IT,Analyst,Female,27-04-2020,17-05-2022,76493,90.8,Wardha,Exited
EMP1169,Ananya Singh,Human Resource,Executive,Female,31-10-2019,,76341,90.0,Pune,Exited
EMP1170,Vikas Mehta,Sales,Senior Executive,Male,13-05-2022,,40818,73.6,Delhi,Active
EMP1171,Kiran Gupta,Finance,Coordinator,Female,16-07-2024,,65303,84.0,Indore,Active
EMP1172,Arjun Bhosale,hr,Coordinator,Female,27-09-2019,30-10-2021,80739,93.1,Pune,Exited
EMP1173,Arjun Jain,hr,Coordinator,Male,18-01-2024,03-02-2025,34821,93.0,Nagpur,Exited
EMP1174,Kavya Nair,HR,Analyst,Male,23-05-2020,,57862,79.7,Delhi,Active
EMP1175,Pooja Nair,Sales,Analyst,Female,20-11-2019,,53972,88.4,Pune,Exited
EMP1176,Amit Ninawe,Admin,Coordinator,Male,23-09-2020,,62252,94.8,Mumbai,Active
EMP1177,Aditya Verma,Admin,Coordinator,Male,20-12-2021,,72602,84.9,Indore,Active
EMP1178,Priya Yadav,Operations,Manager,Male,30-09-2021,,27564,74.7,Chennai,Exited
EMP1179,Rahul Shinde,Finance,Manager,Female,25-10-2022,,58970,92.0,Hyderabad,Active
EMP1179, Neha Gupta ,sales,Analyst,Female,10-10-2024,,59827,73.7,Wardha,Active
EMP1181,Diya Gupta,hr,Analyst,Male,27-07-2019,26-01-2022,72805,94.4,Hyderabad,Exited
EMP1182,Ananya Ninawe,Operations,Executive,Male,09-10-2024,19-09-2025,83191,98.4,Indore,Exited
EMP1183,Isha Joshi,Finance,Senior Executive,Female,16-12-2022,,24624,87.9,Wardha,Active
EMP1184,Priya Mehta,HR,Manager,Female,16-03-2020,,52664,92.9,Hyderabad,Exited
EMP1185,Vivaan Patil,HR,Coordinator,Female,08-03-2021,21-06-2021,68639,92.9,Bengaluru,Exited
EMP1186,Manoj Bhosale,Admin,Associate,Female,01-05-2020,,30672,93.8,Hyderabad,Active
EMP1187,Vikas Mishra,Human Resource,Analyst,Female,26-03-2021,10-06-2021,23100,94.1,Indore,Exited
EMP1188,Isha Gupta,Admin,Coordinator,Female,12-10-2024,,60987,74.9,Bengaluru,Active
EMP1189,Rohan Jain,Marketing,Executive,Female,18-09-2024,20-08-2025,80245,79.9,Pune,Exited
EMP1190,Kavya Choudhary,Sales,Manager,Male,20-04-2019,,47824,87.5,Nagpur,Exited
EMP1191,Amit Bhosale,IT,Coordinator,Male,28-08-2020,,22138,75.7,Wardha,Active
EMP1192,Sneha Pawar,Human Resource,Coordinator,Female,19-08-2023,,71788,96.2,Mumbai,Active
EMP1193,Sakshi Gupta,Marketing,Senior Executive,Male,29-04-2021,30-09-2022,67391,83.8,Indore,Exited
EMP1194,Sneha Mehta,sales,Senior Executive,Female,18-12-2021,,50311,76.7,Bengaluru,Exited
EMP1195,Bhavna Yadav,Finance,Senior Executive,Male,25-06-2024,18-02-2026,53842,87.2,Indore,Exited
EMP1196,Neha Patil,sales,Senior Executive,Female,22-08-2020,,28358,89.7,Wardha,Exited
EMP1197,Ananya Deshmukh,Marketing,Analyst,Male,15-01-2022,,49363,90.1,Indore,Exited
EMP1198,Diya Joshi,HR,Manager,Male,15-02-2020,12-07-2021,31178,70.2,Indore,Exited
EMP1199,Swati Ninawe,IT,Senior Executive,Female,02-05-2024,15-07-2026,55649,89.4,Pune,Exited
EMP1200,Nikhil Choudhary,Finance,Associate,Male,31-12-2024,,,98.0,Mumbai,Active
EMP1201,Manoj Patil,Operations,Coordinator,Male,02-02-2021,13-03-2021,57110,97.9,Hyderabad,Exited
EMP1202,Priya Shinde,Marketing,Associate,Female,17-11-2024,03-05-2025,84088,75.8,Pune,Exited
EMP1203,Sneha Ninawe,Operations,Manager,Female,19-11-2021,,19846,93.7,Delhi,Active
EMP1204,Sai Bhosale,IT,Analyst,Male,18-10-2023,,30502,84.3,Delhi,Exited
EMP1205,Aarav Kulkarni,IT,Coordinator,Male,22-08-2021,24-08-2022,57576,77.8,Hyderabad,Exited
EMP1206,Sakshi Joshi,HR,Manager,Female,29-04-2020,18-07-2021,83866,90.7,Bengaluru,Exited
EMP1207,Pooja Bhosale,Finance,Analyst,Female,16-06-2021,,80676,92.4,Hyderabad,Active
EMP1208,Kavya Mehta,Operations,Coordinator,Female,13-06-2021,,28730,85.8,Hyderabad,Active
EMP1209,Aditya Choudhary,hr,Analyst,Female,10-09-2019,,37641,95.6,Wardha,Active
EMP1210,Vihaan Deshmukh,Admin,Associate,Male,25-06-2024,,84895,83.6,Indore,Active
EMP1211,Kavya Shinde,Admin,Associate,Female,25-08-2019,04-08-2020,20853,94.5,Delhi,Exited
EMP1212,Rohan Patel,HR,Executive,Female,02-10-2023,08-05-2025,25897,71.0,Chennai,Exited
EMP1213,Sai Gupta,IT,Associate,Male,14-03-2023,07-11-2025,67479,90.5,Indore,Exited
EMP1214,Arjun Mishra,hr,Executive,Male,01-01-2021,15-02-2023,47188,99.4,Wardha,Exited
EMP1215,Akash Mehta,IT,Senior Executive,Male,18-12-2024,27-09-2025,78375,78.3,Pune,Exited
EMP1216,Vivaan Pawar,Admin,Executive,Male,06-03-2019,,45011,87.8,Wardha,Active
EMP1217,Siddharth Verma,Finance,Executive,Male,01-07-2019,02-02-2021,46477,85.1,Bengaluru,Exited
EMP1218,Diya Choudhary,sales,Analyst,Male,06-08-2022,,57552,82.4,Bengaluru,Active
EMP1219,Vivaan Mehta,Admin,Manager,Female,18-12-2020,06-03-2021,63143,93.6,Hyderabad,Exited
EMP1220,Sakshi Pawar,IT,Analyst,Male,03-09-2020,14-11-2022,80065,79.0,Nagpur,Exited
EMP1221,Kiran Shinde,HR,Analyst,Female,18-08-2023,01-02-2024,68910,76.1,Pune,Exited
EMP1222,Swati Shinde,sales,Senior Executive,Female,14-01-2020,,24755,90.2,Mumbai,Active
EMP1223,Deepak Patel,Finance,Senior Executive,Male,07-06-2021,,61642,76.4,Delhi,Exited
EMP1224,Shreya Singh,Operations,Analyst,Female,20-09-2021,,69987,93.3,Chennai,Active
EMP1224,Isha Mehta,sales,Associate,Male,17-06-2022,05-01-2025,83179,94.1,Wardha,Exited
EMP1226,Bhavna Jain,Finance,Manager,Male,27-02-2023,25-10-2024,47002,70.5,Indore,Exited
EMP1227,Swati Choudhary,Admin,Analyst,Female,07-09-2023,,61236,87.1,Delhi,Exited
EMP1228,Rahul Mehta,sales,Associate,Male,20-11-2021,08-10-2023,82303,92.0,Hyderabad,Exited
EMP1229,Sai Gupta,Marketing,Coordinator,Male,23-06-2024,,25698,95.2,Pune,Active
EMP1230,Manoj Verma,HR,Executive,Male,17-08-2023,,48334,70.3,Indore,Active
EMP1231,Isha Mishra,HR,Executive,Male,02-06-2024,,71914,85.9,Bengaluru,Exited
EMP1232,Vikas Yadav,HR,Executive,Male,19-08-2024,07-04-2027,41496,85.7,Delhi,Exited
EMP1233,Ananya Bhosale,Marketing,Executive,Female,30-10-2021,,70022,98.8,Wardha,Exited
EMP1234,Rohan Joshi,Finance,Executive,Female,13-05-2022,,22152,81.4,Indore,Active
EMP1235,Rahul Verma,HR,Associate,Female,02-12-2020,,83517,87.0,Pune,Active
EMP1236,Ritika Nair,HR,Senior Executive,Male,30-07-2021,,80324,97.7,Bengaluru,Active
EMP1237,Ritika Mehta,Admin,Executive,Male,15-05-2019,,59220,87.6,Chennai,Active
EMP1238,Swati Patel,Sales,Manager,Female,27-10-2020,,69007,81.5,Nagpur,Active
EMP1239,Kiran Patel,Marketing,Associate,Male,17-11-2022,,30803,95.2,Hyderabad,Active
EMP1240, Siddharth Bhosale ,Admin,Associate,Female,13-06-2023,,53825,76.8,Indore,Exited
EMP1241,Neha Pawar,Human Resource,Analyst,Male,06-04-2023,,56715,72.5,Nagpur,Active
EMP1242,Neha Gupta,IT,Senior Executive,Female,21-07-2022,,18680,80.8,Bengaluru,Exited
EMP1243,Vihaan Gupta,hr,Executive,Male,06-02-2021,27-09-2022,71483,72.7,Indore,Exited
EMP1244,Aditya Bhosale,Admin,Associate,Male,21-08-2022,,72238,91.7,Indore,Exited
EMP1245,Ritika Joshi,Admin,Analyst,Male,04-11-2024,,67903,78.1,Bengaluru,Active
EMP1246,Rahul Gupta,hr,Associate,Male,15-11-2020,,57289,80.8,Delhi,Exited
EMP1247,Shreya Reddy,Admin,Executive,Female,11-03-2021,,57932,80.0,Chennai,Exited
EMP1248,Kiran Jain,Operations,Senior Executive,Female,03-10-2022,31-03-2025,35842,88.1,Delhi,Exited
EMP1249,Rahul Jain,Human Resource,Coordinator,Male,20-06-2023,,82357,79.8,Bengaluru,Exited
EMP1250,Manoj Patil,sales,Manager,Male,11-04-2020,,,98.6,Wardha,Active
EMP1251,Sakshi Deshmukh,Operations,Manager,Female,08-04-2022,,71627,74.2,Bengaluru,Active
EMP1252,Diya Kulkarni,Human Resource,Coordinator,Female,30-09-2023,,80814,86.0,Chennai,Exited
EMP1253,Vikas Verma,sales,Analyst,Female,08-01-2025,,32335,75.0,Mumbai,Active
EMP1254,Rohan Patil,sales,Executive,Female,30-10-2023,,19382,76.7,Indore,Active
EMP1255,Vikas Choudhary,Admin,Analyst,Female,24-06-2021,10-11-2022,83597,99.9,Wardha,Exited
EMP1256,Vihaan Yadav,IT,Senior Executive,Female,18-12-2019,,36569,80.3,Delhi,Active
EMP1257,Amit Reddy,sales,Manager,Female,04-05-2024,,75431,79.6,Bengaluru,Active
EMP1258,Vivaan Singh,HR,Manager,Male,06-11-2022,,39542,85.5,Indore,Active
EMP1259,Sai Jain,Marketing,Manager,Male,13-10-2023,,71090,75.6,Chennai,Exited
EMP1260,Neha Sharma,Admin,Manager,Male,19-03-2021,21-05-2022,18583,76.2,Pune,Exited
EMP1261,Rohan Singh,Marketing,Senior Executive,Female,04-02-2021,17-06-2022,32936,85.8,Hyderabad,Exited
